Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Asm,CZ01,cDXGF,2119775230.42,0.0,689153524788.42,2119775230.42,0.0,689153524788.42
Asm,CZ01,cDXHP,0.0,550558461.78,688584717057.59,0.0,550558461.78,688584717057.59
Asm,CZ01,cPTAC,0.0,0.0,689067215552.05,0.0,0.0,689067215552.05
Asm,CZ01,cPVVG,0.0,0.0,0.0,2200569088.47,0.0,683605523676.33
Asm,CZ02,cDXGF,1621797488.62,0.0,797258850430.89,1621797488.62,0.0,797258850430.89
Asm,CZ02,cDXHP,0.0,431786129.74,797622307175.96,0.0,431786129.74,797622307175.96
Asm,CZ02,cPTAC,0.0,0.0,797192501083.79,0.0,0.0,797192501083.79
Asm,CZ02,cPVVG,0.0,0.0,0.0,1684510774.53,0.0,790897830368.91
Asm,CZ03,cDXGF,416511889.53,0.0,775917434594.9,416511889.53,0.0,775917434594.9
Asm,CZ03,cDXHP,0.0,103451065.12,777181864668.76,0.0,103451065.12,777181864668.76
Asm,CZ03,cPTAC,0.0,0.0,775892672935.03,0.0,0.0,775892672935.03
Asm,CZ03,cPVVG,0.0,0.0,0.0,433191937.84,0.0,769703534398.97
Asm,CZ04,cDXGF,1046631680.58,0.0,875967989536.34,1046631680.58,0.0,875967989536.34
Asm,CZ04,cDXHP,0.0,281031386.09,876031683794.67,0.0,281031386.09,876031683794.67
Asm,CZ04,cPTAC,0.0,0.0,875918159057.01,0.0,0.0,875918159057.01
Asm,CZ04,cPVVG,0.0,0.0,0.0,1088707056.4,0.0,869026931755.11
Asm,CZ05,cDXGF,244383354.66,0.0,785378421425.07,244383354.66,0.0,785378421425.07
Asm,CZ05,cDXHP,0.0,61308378.12,786265517814.78,0.0,61308378.12,786265517814.78
Asm,CZ05,cPTAC,0.0,0.0,785371303880.22,0.0,0.0,785371303880.22
Asm,CZ05,cPVVG,0.0,0.0,0.0,253902994.49,0.0,778987845607.84
Asm,CZ06,cDXGF,13967729.32,0.0,847546374385.58,13967729.32,0.0,847546374385.58
Asm,CZ06,cDXHP,0.0,3430328.24,848843628932.11,0.0,3430328.24,848843628932.11
Asm,CZ06,cPTAC,0.0,0.0,847544980797.94,0.0,0.0,847544980797.94
Asm,CZ06,cPVVG,0.0,0.0,0.0,14586293.45,0.0,840774398634.29
Asm,CZ07,cDXGF,807284.58,0.0,848320997805.82,807284.58,0.0,848320997805.82
Asm,CZ07,cDXHP,0.0,202943.1,849326114523.18,0.0,202943.1,849326114523.18
Asm,CZ07,cPTAC,0.0,0.0,848320883935.31,0.0,0.0,848320883935.31
Asm,CZ07,cPVVG,0.0,0.0,0.0,843691.68,0.0,841529824606.1
Asm,CZ08,cDXGF,18659957.4,0.0,908728148423.13,18659957.4,0.0,908728148423.13
Asm,CZ08,cDXHP,0.0,4582735.13,908872192617.34,0.0,4582735.13,908872192617.34
Asm,CZ08,cPTAC,0.0,0.0,908726327989.52,0.0,0.0,908726327989.52
Asm,CZ08,cPVVG,0.0,0.0,7668500.95,19477684.94,0.0,901678317215.97
Asm,CZ09,cDXGF,81546128.18,0.0,919000733670.79,81546128.18,0.0,919000733670.79
Asm,CZ09,cDXHP,0.0,20654263.95,918914459157.37,0.0,20654263.95,918914459157.37
Asm,CZ09,cPTAC,0.0,0.0,918994795320.59,0.0,0.0,918994795320.59
Asm,CZ09,cPVVG,0.0,0.0,18562152.73,84814662.59,0.0,911755722958.7
Asm,CZ10,cDXGF,29360359.99,0.0,926646471497.34,29360359.99,0.0,926646471497.34
Asm,CZ10,cDXHP,0.0,7480512.06,926655047807.33,0.0,7480512.06,926655047807.33
Asm,CZ10,cPTAC,0.0,0.0,926676703403.92,0.0,0.0,926676703403.92
Asm,CZ10,cPVVG,0.0,0.0,13007433.72,30639752.66,0.0,919432831323.65
Asm,CZ11,cDXGF,2437153901.13,0.0,923337395467.23,2437153901.13,0.0,923337395467.23
Asm,CZ11,cDXHP,0.0,650199773.12,923391094997.89,0.0,650199773.12,923391094997.89
Asm,CZ11,cPTAC,0.0,0.0,923234109065.31,0.0,0.0,923234109065.31
Asm,CZ11,cPVVG,0.0,0.0,198394448.14,2535638897.18,0.0,916166905284.08
Asm,CZ12,cDXGF,1502054070.39,0.0,865063424615.67,1502054070.39,0.0,865063424615.67
Asm,CZ12,cDXHP,0.0,396818664.75,865196858915.97,0.0,396818664.75,865196858915.97
Asm,CZ12,cPTAC,0.0,0.0,865004003670.92,0.0,0.0,865004003670.92
Asm,CZ12,cPVVG,0.0,0.0,0.0,1560816292.77,0.0,858353980313.38
Asm,CZ13,cDXGF,926652663.14,0.0,952402607318.21,926652663.14,0.0,952402607318.21
Asm,CZ13,cDXHP,0.0,240652875.55,952494992997.19,0.0,240652875.55,952494992997.19
Asm,CZ13,cPTAC,0.0,0.0,952358544056.92,0.0,0.0,952358544056.92
Asm,CZ13,cPVVG,0.0,0.0,317721379.95,963834333.54,0.0,945072676466.27
Asm,CZ14,cDXGF,838649974.7,0.0,942554142817.6,838649974.7,0.0,942554142817.6
Asm,CZ14,cDXHP,0.0,241170673.57,942287491282.57,0.0,241170673.57,942287491282.57
Asm,CZ14,cPTAC,0.0,0.0,942510941835.89,0.0,0.0,942510941835.89
Asm,CZ14,cPVVG,0.0,0.0,190867051.52,874255371.09,0.0,934846316052.34
Asm,CZ15,cDXGF,16472229.69,0.0,1142843438789.26,16472229.69,0.0,1142843438789.26
Asm,CZ15,cDXHP,0.0,4338356.21,1142843436899.53,0.0,4338356.21,1142843436899.53
Asm,CZ15,cPTAC,0.0,0.0,1142874190891.05,0.0,0.0,1142874190891.05
Asm,CZ15,cPVVG,0.0,0.0,2046676754.66,17210400.68,0.0,1134230484240.57
Asm,CZ16,cDXGF,9038311199.94,0.0,782900843557.82,9038311199.94,0.0,782900843557.82
Asm,CZ16,cDXHP,0.0,2676271504.55,777288492656.06,0.0,2676271504.55,777288492656.06
Asm,CZ16,cPTAC,0.0,0.0,782688240230.4,0.0,0.0,782688240230.4
Asm,CZ16,cPVVG,0.0,0.0,5300524.24,9472283678.03,0.0,775192750006.32
