Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
ECC,CZ01,cDXGF,92144238624.82,0.0,755942528505.89,92144238624.82,0.0,756355451487.34
ECC,CZ01,cDXHP,0.0,27038048003.61,846335136651.06,0.0,27760660151.45,846335136651.06
ECC,CZ01,cPTAC,0.0,0.0,732338093139.1,0.0,0.0,732751016095.79
ECC,CZ01,cPVVG,49526759952.05,0.0,2797320695.76,91744836344.52,0.0,748765593716.68
ECC,CZ02,cDXGF,117063297834.66,0.0,1199423279131.98,117063297834.66,0.0,1199572008042.35
ECC,CZ02,cDXHP,0.0,34019390733.95,1236828083701.57,0.0,34472933452.78,1236828083701.57
ECC,CZ02,cPTAC,0.0,0.0,1175932035483.73,0.0,0.0,1176080764823.22
ECC,CZ02,cPVVG,76998353090.64,0.0,17186569712.76,117800129012.53,0.0,1188747225982.66
ECC,CZ03,cDXGF,55517542752.21,0.0,1089185981260.91,55517542752.21,0.0,1089229640185.09
ECC,CZ03,cDXHP,0.0,14254781253.61,1147162070519.44,0.0,14254781253.61,1147162070519.44
ECC,CZ03,cPTAC,0.0,0.0,1077887298871.05,0.0,0.0,1077930957795.23
ECC,CZ03,cPVVG,35872080400.84,0.0,12437788402.95,56081624930.94,0.0,1078859328887.49
ECC,CZ04,cDXGF,94408572076.83,0.0,1416858266891.24,94408572076.83,0.0,1420173009638.43
ECC,CZ04,cDXHP,0.0,27852600034.04,1445214390264.78,0.0,27852600034.04,1445938448106.63
ECC,CZ04,cPTAC,0.0,0.0,1396950115671.08,0.0,0.0,1400264858283.1
ECC,CZ04,cPVVG,66852777775.28,0.0,33661013024.48,95449474203.33,0.0,1407873684828.48
ECC,CZ05,cDXGF,40704451879.24,0.0,1113311338025.68,40704451879.24,0.0,1113910201434.21
ECC,CZ05,cDXHP,0.0,11022269610.3,1184981255986.84,0.0,11022269610.3,1184981255986.84
ECC,CZ05,cPTAC,0.0,0.0,1103445571495.57,0.0,0.0,1104044434903.77
ECC,CZ05,cPVVG,26012028638.62,0.0,16783437146.69,40995274937.38,0.0,1103302443102.52
ECC,CZ06,cDXGF,3690687614.27,0.0,1386402180052.38,3690687614.27,0.0,1400895811302.47
ECC,CZ06,cDXHP,0.0,865076613.13,1463833845519.88,0.0,865076613.13,1463833845519.88
ECC,CZ06,cPTAC,0.0,0.0,1384495521197.7,0.0,0.0,1398989146826.98
