Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
ERC,CZ01,cDXGF,8983789345.69,0.0,2337491620.22,8983789345.69,0.0,2337491620.22
ERC,CZ01,cDXHP,0.0,2330537028.08,2646854184.56,0.0,2404923418.95,2646854184.56
ERC,CZ01,cPTAC,0.0,0.0,1975186262.69,0.0,0.0,1975186262.69
ERC,CZ01,cPVVG,3698047293.56,0.0,0.0,8932007546.47,0.0,2307885954.54
ERC,CZ02,cDXGF,5461761414.3,0.0,6203663657.34,5461761414.3,0.0,6203663657.34
ERC,CZ02,cDXHP,0.0,1492950979.7,6522225267.75,0.0,1511377993.42,6522225267.75
ERC,CZ02,cPTAC,0.0,0.0,5841510349.51,0.0,0.0,5841510349.51
ERC,CZ02,cPVVG,2810798032.42,0.0,31722253.7,5493747740.72,0.0,6138005721.63
ERC,CZ03,cDXGF,3387887046.04,0.0,5159059235.17,3387887046.04,0.0,5159059235.17
ERC,CZ03,cDXHP,0.0,839280395.77,5589043641.15,0.0,839280395.77,5589043641.15
ERC,CZ03,cPTAC,0.0,0.0,4897356072.83,0.0,0.0,4897356072.83
ERC,CZ03,cPVVG,1618133772.26,0.0,1642905.28,3423247468.67,0.0,5102649900.92
ERC,CZ04,cDXGF,4243948803.3,0.0,8607013578.38,4243948803.3,0.0,8607013578.38
ERC,CZ04,cDXHP,0.0,1215537520.34,8869723688.19,0.0,1215537520.34,8869723688.19
ERC,CZ04,cPTAC,0.0,0.0,8224464297.69,0.0,0.0,8224464297.69
ERC,CZ04,cPVVG,2269612554.03,0.0,217664820.78,4284706582.95,0.0,8521001344.01
ERC,CZ05,cDXGF,2540305062.37,0.0,5272079800.34,2540305062.37,0.0,5272079800.34
ERC,CZ05,cDXHP,0.0,656913704.63,5722413643.78,0.0,656913704.63,5722413643.78
ERC,CZ05,cPTAC,0.0,0.0,4973829130.6,0.0,0.0,4973829130.6
ERC,CZ05,cPVVG,1062364738.85,0.0,2123936.61,2558715191.83,0.0,5211665646.38
ERC,CZ06,cDXGF,544180266.06,0.0,8271958862.32,544180266.06,0.0,8271958862.32
ERC,CZ06,cDXHP,0.0,127879542.56,8616949183.26,0.0,127879542.56,8616949183.26
ERC,CZ06,cPTAC,0.0,0.0,8168977513.15,0.0,0.0,8168977513.15
ERC,CZ06,cPVVG,155874172.66,0.0,19101195.84,556683188.6,0.0,8185049457.51
ERC,CZ07,cDXGF,365774264.84,0.0,8243111800.62,365774264.84,0.0,8243111800.62
ERC,CZ07,cDXHP,0.0,84916789.58,8575509665.08,0.0,84916789.58,8575509665.08
ERC,CZ07,cPTAC,0.0,0.0,8142213477.13,0.0,0.0,8142213477.13
ERC,CZ07,cPVVG,9595496.44,0.0,17252645.22,373429243.33,0.0,8156326774.38
ERC,CZ08,cDXGF,704872457.71,0.0,10873661586.94,704872457.71,0.0,10873661586.94
ERC,CZ08,cDXHP,0.0,171270232.72,11054572871.76,0.0,171270232.72,11054572871.76
ERC,CZ08,cPTAC,0.0,0.0,10742542861.61,0.0,0.0,10742542861.61
