Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Epr,CZ01,cDXGF,22147924056.13,0.0,171207644827.21,22147924056.13,0.0,171207644827.21
Epr,CZ01,cDXHP,0.0,5625155663.15,171480398047.11,0.0,5625155663.15,171480398047.11
Epr,CZ01,cPTAC,0.0,0.0,170509397677.47,0.0,0.0,170509397677.47
Epr,CZ01,cPVVG,13574197717.51,0.0,2112448.3,22841285704.5,0.0,169581854895.06
Epr,CZ02,cDXGF,19339572160.36,0.0,230500610006.28,19339572160.36,0.0,230500610006.28
Epr,CZ02,cDXHP,0.0,5009406136.95,231487596830.07,0.0,5009406136.95,231487596830.07
Epr,CZ02,cPTAC,0.0,0.0,230104036818.77,0.0,0.0,230104036818.77
Epr,CZ02,cPVVG,14591722129.66,0.0,1146017991.29,19971937753.42,0.0,228534862768.14
Epr,CZ03,cDXGF,9791108198.92,0.0,221624845861.87,9791108198.92,0.0,221624845861.87
Epr,CZ03,cDXHP,0.0,2415986141.73,223142122896.66,0.0,2415986141.73,223142122896.66
Epr,CZ03,cPTAC,0.0,0.0,221406763493.38,0.0,0.0,221406763493.38
Epr,CZ03,cPVVG,7208197151.3,0.0,452891774.13,10118951174.34,0.0,219729111428.54
Epr,CZ04,cDXGF,13866941014.78,0.0,266626914329.27,13866941014.78,0.0,266626914329.27
Epr,CZ04,cDXHP,0.0,3637674417.13,267830962210.62,0.0,3637674417.13,267830962210.62
Epr,CZ04,cPTAC,0.0,0.0,266380689671.27,0.0,0.0,266380689671.27
Epr,CZ04,cPVVG,11085853096.19,0.0,3180066262.01,14335412283.92,0.0,264412617045.64
Epr,CZ05,cDXGF,6005825589.13,0.0,224987843701.9,6005825589.13,0.0,224987843701.9
Epr,CZ05,cDXHP,0.0,1492690900.11,226436780136.32,0.0,1492690900.11,226436780136.32
Epr,CZ05,cPTAC,0.0,0.0,224851255428.4,0.0,0.0,224851255428.4
Epr,CZ05,cPVVG,4392855276.27,0.0,434409499.17,6204979541.78,0.0,223041405367.58
Epr,CZ06,cDXGF,477910840.21,0.0,259391271970.76,477910840.21,0.0,259416817428.95
Epr,CZ06,cDXHP,0.0,111141977.91,261337165040.2,0.0,111141977.91,261337165040.2
