Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Ese,CZ01,cDXGF,7189335899.11,0.0,190068184025.65,7189335899.11,0.0,190330782978.99
Ese,CZ01,cDXHP,0.0,1854175868.69,190177994958.18,0.0,1854175868.69,190177994958.18
Ese,CZ01,cPTAC,0.0,0.0,189744648610.39,0.0,0.0,190007245446.04
Ese,CZ01,cPVVG,3679475124.71,0.0,890842203.88,131316701528.84,0.0,218355250901.4
Ese,CZ02,cDXGF,9456745044.25,0.0,248581835576.34,9456745044.25,0.0,248581835576.34
Ese,CZ02,cDXHP,0.0,2513182411.97,248961899071.03,0.0,2513182411.97,248961899071.03
Ese,CZ02,cPTAC,0.0,0.0,248241753250.56,0.0,0.0,248241753250.56
Ese,CZ02,cPVVG,12437305444.36,0.0,4440741460.65,133901511729.47,0.0,468815049935.93
Ese,CZ03,cDXGF,3523320979.4,0.0,238644339069.07,3523320979.4,0.0,238644339069.07
Ese,CZ03,cDXHP,0.0,869559376.19,239081964028.26,0.0,869559376.19,239081964028.26
Ese,CZ03,cPTAC,0.0,0.0,238477338012.05,0.0,0.0,238477338012.05
Ese,CZ03,cPVVG,1995993032.05,0.0,3206052706.49,77466445796.75,0.0,390301681905.36
Ese,CZ04,cDXGF,7315897551.96,0.0,287836744814.76,7315897551.96,0.0,287836744814.76
Ese,CZ04,cDXHP,0.0,1970139622.11,288667093414.68,0.0,1970139622.11,288667093414.68
Ese,CZ04,cPTAC,0.0,0.0,287602144933.36,0.0,0.0,287602144933.36
Ese,CZ04,cPVVG,9702236491.88,0.0,7834015351.68,115043773193.19,0.0,603530919772.77
Ese,CZ05,cDXGF,2975095963.52,0.0,244929405989.3,2975095963.52,0.0,244929405989.3
Ese,CZ05,cDXHP,0.0,759245634.11,245121507583.35,0.0,759245634.11,245121507583.35
Ese,CZ05,cPTAC,0.0,0.0,244809038706.48,0.0,0.0,244809038706.48
Ese,CZ05,cPVVG,1927965111.66,0.0,3836767561.56,78219178255.2,0.0,422058839434.74
Ese,CZ06,cDXGF,443098578.8,0.0,277642575837.44,443098578.8,0.0,280008323950.25
Ese,CZ06,cDXHP,0.0,106864332.55,280782652849.06,0.0,106864332.55,280782652849.06
Ese,CZ06,cPTAC,0.0,0.0,277620409380.87,0.0,0.0,279986156897.75
Ese,CZ06,cPVVG,0.0,0.0,5403423077.32,25056396288.7,0.0,591385238541.98
Ese,CZ07,cDXGF,368494039.79,0.0,278112731115.45,368494039.79,0.0,278512442138.38
Ese,CZ07,cDXHP,0.0,88668274.08,279144065199.11,0.0,88668274.08,279144065199.11
Ese,CZ07,cPTAC,0.0,0.0,278092369184.43,0.0,0.0,278492080207.29
Ese,CZ07,cPVVG,0.0,0.0,5058347723.13,25255357784.02,0.0,593040560528.75
Ese,CZ08,cDXGF,716070643.81,0.0,315780410551.49,716070643.81,0.0,315780410551.49
Ese,CZ08,cDXHP,0.0,176619889.58,316293755937.98,0.0,176619889.58,316293755937.98
Ese,CZ08,cPTAC,0.0,0.0,315743444249.54,0.0,0.0,315743444249.54
Ese,CZ08,cPVVG,51382333.62,0.0,8434887259.93,32510941189.52,0.0,705981146773.95
Ese,CZ09,cDXGF,1450039026.71,0.0,319056786598.15,1450039026.71,0.0,319056786598.15
Ese,CZ09,cDXHP,0.0,363921540.15,319361483456.78,0.0,363921540.15,319361483456.78
Ese,CZ09,cPTAC,0.0,0.0,319005158301.35,0.0,0.0,319005158301.35
Ese,CZ09,cPVVG,860116682.8,0.0,9610485269.19,39725285893.01,0.0,699932480419.05
Ese,CZ10,cDXGF,1781950476.56,0.0,317859126981.13,1781950476.56,0.0,317859126981.13
Ese,CZ10,cDXHP,0.0,454091163.79,317995225798.64,0.0,454091163.79,317995225798.64
Ese,CZ10,cPTAC,0.0,0.0,317784918616.67,0.0,0.0,317784918616.67
Ese,CZ10,cPVVG,2077715635.4,0.0,8768145383.44,52248055802.22,0.0,742386184963.42
Ese,CZ11,cDXGF,11108493036.69,0.0,313463683475.11,11108493036.69,0.0,313463683475.11
Ese,CZ11,cDXHP,0.0,2971926662.44,314484956360.07,0.0,2971926662.44,314484956360.07
Ese,CZ11,cPTAC,0.0,0.0,313181678682.07,0.0,0.0,313181678682.07
Ese,CZ11,cPVVG,14047806787.77,0.0,13635537433.69,115926268583.92,0.0,705035422671.52
Ese,CZ12,cDXGF,8080846133.57,0.0,282598548486.96,8080846133.57,0.0,282598548486.96
Ese,CZ12,cDXHP,0.0,2133192104.67,283380792810.95,0.0,2133192104.67,283380792810.95
Ese,CZ12,cPTAC,0.0,0.0,282332509416.87,0.0,0.0,282332509416.87
Ese,CZ12,cPVVG,10460954475.86,0.0,7884475657.18,107523774312.17,0.0,596382182700.56
Ese,CZ13,cDXGF,5931158864.12,0.0,328976516928.65,5931158864.12,0.0,328976516928.65
Ese,CZ13,cDXHP,0.0,1555560574.72,329717269640.01,0.0,1555560574.72,329717269640.01
Ese,CZ13,cPTAC,0.0,0.0,328788764043.71,0.0,0.0,328788764043.71
Ese,CZ13,cPVVG,7780776245.0,0.0,14359997475.4,84188102592.55,0.0,750322485418.96
Ese,CZ14,cDXGF,4228528132.85,0.0,321237133978.79,4228528132.85,0.0,321237133978.79
Ese,CZ14,cDXHP,0.0,1241015792.5,322557682269.21,0.0,1241015792.5,322557682269.21
Ese,CZ14,cPTAC,0.0,0.0,321088447296.79,0.0,0.0,321088447296.79
Ese,CZ14,cPVVG,5608524158.57,0.0,10851325132.33,74366776555.25,0.0,702432246215.25
Ese,CZ15,cDXGF,109076191.92,0.0,430293310832.2,109076191.92,0.0,430293310832.2
Ese,CZ15,cDXHP,0.0,28049116.89,430365925072.8,0.0,28049116.89,430365925072.8
Ese,CZ15,cPTAC,0.0,0.0,430285253972.72,0.0,0.0,430285253972.72
Ese,CZ15,cPVVG,116151594.47,0.0,26941663467.75,11877431388.98,0.0,1088275746552.92
Ese,CZ16,cDXGF,21755824700.7,0.0,238070171048.88,21755824700.7,0.0,238070171048.88
Ese,CZ16,cDXHP,0.0,6540346026.2,236685134279.99,0.0,6540346026.2,236685134279.99
Ese,CZ16,cPTAC,0.0,0.0,237582052750.41,0.0,0.0,237582052750.41
Ese,CZ16,cPVVG,34542695700.91,0.0,4867609992.27,181603955747.49,0.0,411841763804.22
