Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Eun,CZ01,cDXGF,89429396305.02,0.0,3628299905685.04,89429396305.02,0.0,3653427213661.38
Eun,CZ01,cDXHP,0.0,23042446015.78,3639789995482.75,0.0,23042446015.78,3639789995482.75
Eun,CZ01,cPTAC,0.0,0.0,3626525538811.31,0.0,0.0,3651652756549.52
Eun,CZ01,cPVVG,1115429403.14,0.0,8388336065.38,92279469644.86,0.0,1781588652670.79
Eun,CZ02,cDXGF,74897656571.8,0.0,4354167963296.33,74897656571.8,0.0,4354277029315.6
Eun,CZ02,cDXHP,0.0,19756396800.42,4351311733426.84,0.0,19756396800.42,4351311733426.84
Eun,CZ02,cPTAC,0.0,0.0,4353527879435.87,0.0,0.0,4353636945455.14
Eun,CZ02,cPVVG,4541582644.72,0.0,19821080356.71,77485514804.18,0.0,2058747516248.51
Eun,CZ03,cDXGF,37386686722.35,0.0,4220335376447.8,37386686722.35,0.0,4221366095792.13
Eun,CZ03,cDXHP,0.0,9257767300.2,4217735607738.74,0.0,9257767300.2,4217735607738.74
Eun,CZ03,cPTAC,0.0,0.0,4219463965706.98,0.0,0.0,4220494684005.47
Eun,CZ03,cPVVG,785000682.65,0.0,17954851296.99,38706462326.32,0.0,2006310325319.28
Eun,CZ04,cDXGF,66363864165.34,0.0,4802233036083.76,66363864165.34,0.0,4803775256696.57
Eun,CZ04,cDXHP,0.0,17836332331.4,4805586368580.45,0.0,17836332331.4,4805586368580.45
Eun,CZ04,cPTAC,0.0,0.0,4801987093313.6,0.0,0.0,4803529304868.4
Eun,CZ04,cPVVG,6248942028.22,0.0,29055927194.86,68764714756.24,0.0,2240953119010.53
Eun,CZ05,cDXGF,30992322417.74,0.0,4308883916864.83,30992322417.74,0.0,4326453028831.29
Eun,CZ05,cDXHP,0.0,7886986780.04,4320050675601.11,0.0,7886986780.04,4320050675601.11
Eun,CZ05,cPTAC,0.0,0.0,4310108929070.1,0.0,0.0,4327678033536.38
Eun,CZ05,cPVVG,1306744627.84,0.0,20884035463.77,32086611951.86,0.0,2051361678922.32
Eun,CZ06,cDXGF,5182434847.42,0.0,4577709969319.92,5182434847.42,0.0,4668629953976.33
Eun,CZ06,cDXHP,0.0,1252328888.62,4668095017369.55,0.0,1252328888.62,4671633515247.16
Eun,CZ06,cPTAC,0.0,0.0,4577593719972.71,0.0,0.0,4668431113520.0
Eun,CZ06,cPVVG,0.0,0.0,25048076305.75,5384225467.14,0.0,2178008336098.82
Eun,CZ07,cDXGF,2458556330.46,0.0,4621020083200.37,2458556330.46,0.0,4663982974478.27
Eun,CZ07,cDXHP,0.0,593148043.56,4665744205523.3,0.0,593148043.56,4667166065371.77
Eun,CZ07,cPTAC,0.0,0.0,4620910646680.59,0.0,0.0,4663873533479.66
Eun,CZ07,cPVVG,0.0,0.0,20832383494.46,2554814467.26,0.0,2171600900432.59
Eun,CZ08,cDXGF,7589312772.18,0.0,5061485344419.08,7589312772.18,0.0,5066293471552.87
Eun,CZ08,cDXHP,0.0,1868091983.52,5069217385241.37,0.0,1868091983.52,5069217385241.37
Eun,CZ08,cPTAC,0.0,0.0,5061168871169.97,0.0,0.0,5065976998262.07
Eun,CZ08,cPVVG,0.0,0.0,30330631877.71,7881314601.89,0.0,2336794168551.49
Eun,CZ09,cDXGF,15077277075.67,0.0,5119083603596.8,15077277075.67,0.0,5119465704711.54
Eun,CZ09,cDXHP,0.0,3782330823.9,5120649886753.89,0.0,3782330823.9,5120649886753.89
Eun,CZ09,cPTAC,0.0,0.0,5118799212182.96,0.0,0.0,5119181313297.69
Eun,CZ09,cPVVG,25123515.53,0.0,33667133639.5,15664947117.29,0.0,2363172215284.72
Eun,CZ10,cDXGF,9170122899.15,0.0,5063566061001.75,9170122899.15,0.0,5063566061001.75
Eun,CZ10,cDXHP,0.0,2339671671.46,5064280754970.69,0.0,2339671671.46,5064280754970.69
Eun,CZ10,cPTAC,0.0,0.0,5063220567663.02,0.0,0.0,5063220567663.02
Eun,CZ10,cPVVG,22778400.9,0.0,25859611770.6,9521457670.68,0.0,2340568772970.72
Eun,CZ11,cDXGF,92633474187.49,0.0,5027732058176.54,92633474187.49,0.0,5027732058176.54
Eun,CZ11,cDXHP,0.0,24547098795.32,5032702306970.38,0.0,24547098795.32,5032702306970.38
Eun,CZ11,cPTAC,0.0,0.0,5027561380155.34,0.0,0.0,5027561380155.34
Eun,CZ11,cPVVG,12346041016.35,0.0,39383961594.9,95980852584.8,0.0,2332440985867.42
Eun,CZ12,cDXGF,61463687992.71,0.0,4689114827636.26,61463687992.71,0.0,4689114827636.26
Eun,CZ12,cDXHP,0.0,16053566772.36,4692678818517.15,0.0,16053566772.36,4692678818517.15
Eun,CZ12,cPTAC,0.0,0.0,4688639792427.71,0.0,0.0,4688639792427.71
Eun,CZ12,cPVVG,2707651785.27,0.0,27300207699.11,63595365837.77,0.0,2190148101321.98
Eun,CZ13,cDXGF,47445668866.29,0.0,5175533011139.61,47445668866.29,0.0,5175533011139.61
Eun,CZ13,cDXHP,0.0,12268380754.64,5180880378295.8,0.0,12268380754.64,5180880378295.8
Eun,CZ13,cPTAC,0.0,0.0,5173618522023.83,0.0,0.0,5173618522023.83
Eun,CZ13,cPVVG,743447518.25,0.0,38408865771.54,49147678039.03,0.0,2381687914695.6
Eun,CZ14,cDXGF,52864072448.71,0.0,5151047434638.86,52864072448.71,0.0,5151387485461.29
Eun,CZ14,cDXHP,0.0,15268103906.74,5159789710832.99,0.0,15268103906.74,5159789710832.99
Eun,CZ14,cPTAC,0.0,0.0,5149606805911.77,0.0,0.0,5149946856734.2
Eun,CZ14,cPVVG,2295707609.32,0.0,35231282861.41,54917569070.98,0.0,2385354479731.58
Eun,CZ15,cDXGF,4182208486.35,0.0,6326677254674.25,4182208486.35,0.0,6326677254674.25
Eun,CZ15,cDXHP,0.0,1084026570.7,6327615579574.38,0.0,1084026570.7,6327615579574.38
Eun,CZ15,cPTAC,0.0,0.0,6326480331316.71,0.0,0.0,6326480331316.71
Eun,CZ15,cPVVG,104680168.88,0.0,61127875870.09,4345993808.07,0.0,2848496145495.97
Eun,CZ16,cDXGF,185222573299.71,0.0,4207504882500.4,185222573299.71,0.0,4226973773595.63
Eun,CZ16,cDXHP,0.0,54210084485.97,4206508493061.19,0.0,54210084485.97,4206508493061.19
Eun,CZ16,cPTAC,0.0,0.0,4205374232127.55,0.0,0.0,4225073502033.73
Eun,CZ16,cPVVG,19665434745.23,0.0,21489636485.17,193066077496.03,0.0,2009169525603.29
