Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Gro,CZ01,cDXGF,422867810032.54,0.0,34797643057.7,426987284200.03,0.0,34797643057.7
Gro,CZ01,cDXHP,0.0,97975838959.75,34234743772.63,0.0,99959353639.64,34234743772.63
Gro,CZ01,cPTAC,0.0,0.0,30431854601.28,0.0,0.0,30431854601.28
Gro,CZ01,cPVVG,3240846934.99,0.0,0.0,428502086717.18,0.0,34117194315.79
Gro,CZ02,cDXGF,287596776650.19,0.0,115822044467.82,289969498306.66,0.0,115822044467.82
Gro,CZ02,cDXHP,0.0,68310043693.36,115416895977.26,0.0,69643640871.37,115416895977.26
Gro,CZ02,cPTAC,0.0,0.0,110961355994.8,0.0,0.0,110961355994.8
Gro,CZ02,cPVVG,2133854859.99,0.0,0.0,295784480406.24,0.0,114499957062.26
Gro,CZ03,cDXGF,222547350053.43,0.0,84803296795.84,224190784943.15,0.0,84803296795.84
Gro,CZ03,cDXHP,0.0,50932440139.47,83886092399.99,0.0,51445915348.98,83886092399.99
Gro,CZ03,cPTAC,0.0,0.0,80670065258.18,0.0,0.0,80670065258.18
Gro,CZ03,cPVVG,528391534.01,0.0,0.0,227723850175.49,0.0,83710262666.23
Gro,CZ04,cDXGF,236695056349.69,0.0,174984418167.55,238083800204.11,0.0,174984418167.55
Gro,CZ04,cDXHP,0.0,57391015172.98,174977654190.5,0.0,58337060949.87,174977654190.5
Gro,CZ04,cPTAC,0.0,0.0,170545144381.45,0.0,0.0,170545144381.45
Gro,CZ04,cPVVG,2044857237.61,0.0,0.0,243748502589.09,0.0,173137955979.55
Gro,CZ05,cDXGF,209969130136.7,0.0,85560321685.91,211002011038.94,0.0,85560321685.91
Gro,CZ05,cDXHP,0.0,48069021958.83,84619034625.76,0.0,48628055052.45,84619034625.76
Gro,CZ05,cPTAC,0.0,0.0,79881967649.61,0.0,0.0,79881967649.61
Gro,CZ05,cPVVG,447801476.13,0.0,0.0,214227768562.02,0.0,84436929413.76
Gro,CZ06,cDXGF,102099535385.35,0.0,141253540294.24,102519292251.68,0.0,141253540294.24
Gro,CZ06,cDXHP,0.0,22696804170.02,139595982090.28,0.0,22763301481.4,139595982090.28
Gro,CZ06,cPTAC,0.0,0.0,137679943753.38,0.0,0.0,137679943753.38
Gro,CZ06,cPVVG,9400031.95,0.0,0.0,104773766241.72,0.0,139520642071.81
Gro,CZ07,cDXGF,96905847371.8,0.0,143445156465.56,97238877432.15,0.0,143445156465.56
Gro,CZ07,cDXHP,0.0,21438264983.4,141876860428.76,0.0,21485544507.58,141876860428.76
Gro,CZ07,cPTAC,0.0,0.0,139956441428.78,0.0,0.0,139956441428.78
Gro,CZ07,cPVVG,0.0,0.0,0.0,99318527130.25,0.0,141703423793.55
Gro,CZ08,cDXGF,108017279085.52,0.0,205095237465.17,108436543164.89,0.0,205108514773.81
Gro,CZ08,cDXHP,0.0,24368332580.09,204357790888.1,0.0,24460744875.51,204366673706.71
Gro,CZ08,cPTAC,0.0,0.0,201347953371.72,0.0,0.0,201356825462.78
Gro,CZ08,cPVVG,48243302.36,0.0,0.0,110990046753.2,0.0,202907133981.44
Gro,CZ09,cDXGF,122008232230.54,0.0,210186899103.4,122745227278.91,0.0,210205158049.88
Gro,CZ09,cDXHP,0.0,28113309497.28,209497025152.91,0.0,28305729330.18,209515284094.95
Gro,CZ09,cPTAC,0.0,0.0,206421854740.54,0.0,0.0,206435582944.82
Gro,CZ09,cPVVG,251996745.65,0.0,0.0,125844053104.03,0.0,207937154053.12
Gro,CZ10,cDXGF,117311502864.56,0.0,215400388146.74,117954992992.8,0.0,215422562561.99
