Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Htl,CZ01,cDXGF,4394550866.56,0.0,195711959001.47,4394550866.56,0.0,195711959001.47
Htl,CZ01,cDXHP,0.0,1098544550.48,194475976945.76,0.0,1098544550.48,194475976945.76
Htl,CZ01,cPTAC,0.0,0.0,195578730718.39,0.0,0.0,195578730718.39
Htl,CZ01,cPVVG,0.0,0.0,0.0,4437197218.37,0.0,193757234708.67
Htl,CZ02,cDXGF,4064843685.21,0.0,249485098596.38,4064843685.21,0.0,249485098596.38
Htl,CZ02,cDXHP,0.0,1043487517.1,249329036632.26,0.0,1043487517.1,249329036632.26
Htl,CZ02,cPTAC,0.0,0.0,249356108854.39,0.0,0.0,249356108854.39
Htl,CZ02,cPVVG,0.0,0.0,0.0,4157789731.78,0.0,247216458508.77
Htl,CZ03,cDXGF,1670878654.8,0.0,247218042565.39,1670878654.8,0.0,247218042565.39
Htl,CZ03,cDXHP,0.0,406845036.41,246864544082.99,0.0,406845036.41,246864544082.99
Htl,CZ03,cPTAC,0.0,0.0,247156490317.66,0.0,0.0,247156490317.66
Htl,CZ03,cPVVG,0.0,0.0,0.0,1702033807.12,0.0,244842795994.58
Htl,CZ04,cDXGF,2675729620.31,0.0,286223782534.51,2675729620.31,0.0,286223782534.51
Htl,CZ04,cDXHP,0.0,690477277.28,286330003848.85,0.0,690477277.28,286330003848.85
Htl,CZ04,cPTAC,0.0,0.0,286152445527.24,0.0,0.0,286152445527.24
Htl,CZ04,cPVVG,0.0,0.0,0.0,2749587540.6,0.0,283750371770.61
Htl,CZ05,cDXGF,1063386823.89,0.0,251682781078.75,1063386823.89,0.0,251682781078.75
Htl,CZ05,cDXHP,0.0,261385298.91,251018762328.83,0.0,261385298.91,251018762328.83
Htl,CZ05,cPTAC,0.0,0.0,251639684062.57,0.0,0.0,251639684062.57
Htl,CZ05,cPVVG,0.0,0.0,0.0,1084526518.64,0.0,249244562249.69
Htl,CZ06,cDXGF,70121631.86,0.0,292881743919.15,70121631.86,0.0,292881743919.15
Htl,CZ06,cDXHP,0.0,16913256.54,292862623755.86,0.0,16913256.54,292862623755.86
Htl,CZ06,cPTAC,0.0,0.0,292877082804.56,0.0,0.0,292877082804.56
Htl,CZ06,cPVVG,0.0,0.0,0.0,72234107.43,0.0,290341051103.54
Htl,CZ07,cDXGF,21518937.76,0.0,291311779691.07,21518937.76,0.0,291311779691.07
Htl,CZ07,cDXHP,0.0,5209240.52,291288932509.53,0.0,5209240.52,291288932509.53
Htl,CZ07,cPTAC,0.0,0.0,291309364285.81,0.0,0.0,291309364285.81
Htl,CZ07,cPVVG,0.0,0.0,0.0,22111838.37,0.0,288789344963.71
Htl,CZ08,cDXGF,118012416.44,0.0,322465106732.42,118012416.44,0.0,322465106732.42
Htl,CZ08,cDXHP,0.0,28751472.0,322537501181.64,0.0,28751472.0,322537501181.64
Htl,CZ08,cPTAC,0.0,0.0,322456019968.53,0.0,0.0,322456019968.53
Htl,CZ08,cPVVG,0.0,0.0,0.0,121735028.1,0.0,319770148824.4
Htl,CZ09,cDXGF,332992281.62,0.0,321551061895.05,332992281.62,0.0,321551061895.05
Htl,CZ09,cDXHP,0.0,83237062.22,321621872832.94,0.0,83237062.22,321621872832.94
Htl,CZ09,cPTAC,0.0,0.0,321535238214.72,0.0,0.0,321535238214.72
Htl,CZ09,cPVVG,0.0,0.0,0.0,344388421.91,0.0,318785798662.94
Htl,CZ10,cDXGF,215464144.33,0.0,324364740910.87,215464144.33,0.0,324364740910.87
