Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
MBT,CZ01,cDXGF,101959577117.17,0.0,453228295875.42,101959577117.17,0.0,455417753823.28
MBT,CZ01,cDXHP,0.0,25710539594.57,453777255285.17,0.0,25710539594.57,453777255285.17
MBT,CZ01,cPTAC,0.0,0.0,452211499127.36,0.0,0.0,454400955107.18
MBT,CZ01,cPVVG,552433797.13,0.0,38136517.49,104151815383.63,0.0,450924254021.5
MBT,CZ02,cDXGF,76199050416.36,0.0,646815436919.43,76199050416.36,0.0,655110961574.97
MBT,CZ02,cDXHP,0.0,19373254913.24,654618805299.06,0.0,19373254913.24,654618805299.06
MBT,CZ02,cPTAC,0.0,0.0,645860561714.68,0.0,0.0,654156088316.29
MBT,CZ02,cPVVG,2212093526.65,0.0,1258223508.58,78518082893.73,0.0,648844234307.89
MBT,CZ03,cDXGF,40427461987.93,0.0,620724394152.48,40427461987.93,0.0,628682609020.31
MBT,CZ03,cDXHP,0.0,9783279285.7,627410169830.54,0.0,9783279285.7,627410169830.54
MBT,CZ03,cPTAC,0.0,0.0,620143540631.83,0.0,0.0,628101753835.88
MBT,CZ03,cPVVG,683866472.93,0.0,502615006.27,41613067637.81,0.0,622611528350.62
MBT,CZ04,cDXGF,59803650231.33,0.0,774773723425.29,59803650231.33,0.0,783679327188.48
MBT,CZ04,cDXHP,0.0,15335442118.56,783454174472.54,0.0,15335442118.56,783454174472.54
MBT,CZ04,cPTAC,0.0,0.0,773910979261.81,0.0,0.0,782816584611.57
MBT,CZ04,cPVVG,2429340073.28,0.0,2703157250.08,61727690763.99,0.0,776357082529.13
MBT,CZ05,cDXGF,30766930514.54,0.0,631327438298.84,30766930514.54,0.0,636886488928.98
MBT,CZ05,cDXHP,0.0,7528948136.28,634737497082.23,0.0,7528948136.28,634737497082.23
MBT,CZ05,cPTAC,0.0,0.0,630479393139.16,0.0,0.0,636038442924.0
MBT,CZ05,cPVVG,495674423.01,0.0,676262566.87,31674434269.08,0.0,630585465203.08
MBT,CZ06,cDXGF,3889677641.02,0.0,781537000855.47,3889677641.02,0.0,785697130024.97
MBT,CZ06,cDXHP,0.0,930055360.78,783741725322.6,0.0,930055360.78,783741725322.6
MBT,CZ06,cPTAC,0.0,0.0,781435649488.11,0.0,0.0,785595778657.6
MBT,CZ06,cPVVG,0.0,0.0,1642909519.12,4046571512.48,0.0,778227523409.69
MBT,CZ07,cDXGF,1759976952.96,0.0,787050443450.01,1759976952.96,0.0,787050443450.01
MBT,CZ07,cDXHP,0.0,418844424.16,785662521664.21,0.0,418844424.16,785662521664.21
MBT,CZ07,cPTAC,0.0,0.0,786984227458.51,0.0,0.0,786984227458.51
MBT,CZ07,cPVVG,0.0,0.0,1136554663.85,1831623547.93,0.0,779427195166.21
MBT,CZ08,cDXGF,5363065185.74,0.0,889184417669.82,5363065185.74,0.0,889184417669.82
MBT,CZ08,cDXHP,0.0,1300242321.15,890267822483.54,0.0,1300242321.15,890267822483.54
MBT,CZ08,cPTAC,0.0,0.0,889034913644.63,0.0,0.0,889034913644.63
MBT,CZ08,cPVVG,0.0,0.0,2868686596.06,5570655633.98,0.0,880962853261.37
MBT,CZ09,cDXGF,11488680909.04,0.0,896341764854.24,11488680909.04,0.0,896341764854.24
MBT,CZ09,cDXHP,0.0,2851324670.7,897461353857.79,0.0,2851324670.7,897461353857.79
MBT,CZ09,cPTAC,0.0,0.0,896048522948.21,0.0,0.0,896048522948.21
MBT,CZ09,cPVVG,0.0,0.0,3368943852.64,11910797955.78,0.0,887873154882.04
MBT,CZ10,cDXGF,8471392761.7,0.0,903823575839.6,8471392761.7,0.0,903823575839.6
MBT,CZ10,cDXHP,0.0,2109529558.64,905336823260.49,0.0,2109529558.64,905336823260.49
MBT,CZ10,cPTAC,0.0,0.0,903601590804.22,0.0,0.0,903601590804.22
MBT,CZ10,cPVVG,0.0,0.0,2851144745.82,8757511516.09,0.0,895412594369.12
MBT,CZ11,cDXGF,85440106210.38,0.0,886461621931.18,85440106210.38,0.0,887175724195.2
MBT,CZ11,cDXHP,0.0,21930598813.71,889906341732.0,0.0,21930598813.71,889906341732.0
MBT,CZ11,cPTAC,0.0,0.0,885614344493.98,0.0,0.0,886328446758.0
MBT,CZ11,cPVVG,4203151361.4,0.0,7182037387.61,88121343906.26,0.0,879191911505.07
MBT,CZ12,cDXGF,77083454571.9,0.0,780690423684.1,77083454571.9,0.0,783475490769.34
MBT,CZ12,cDXHP,0.0,19509335096.7,783974681953.77,0.0,19509335096.7,783974681953.77
MBT,CZ12,cPTAC,0.0,0.0,779986712212.65,0.0,0.0,782771779297.89
MBT,CZ12,cPVVG,1941512391.18,0.0,3412063564.66,79330984158.06,0.0,776269408996.14
MBT,CZ13,cDXGF,63827036295.22,0.0,946203513741.22,63827036295.22,0.0,946203513741.22
MBT,CZ13,cDXHP,0.0,16074062749.7,948767093955.32,0.0,16074062749.7,948767093955.32
MBT,CZ13,cPTAC,0.0,0.0,945691662694.0,0.0,0.0,945691662694.0
MBT,CZ13,cPVVG,976134076.06,0.0,7808798867.61,65684311910.54,0.0,937805184971.85
MBT,CZ14,cDXGF,55001915641.61,0.0,911439996380.43,55001915641.61,0.0,911859376134.32
MBT,CZ14,cDXHP,0.0,15221825256.5,912865786512.79,0.0,15221825256.5,912865786512.79
MBT,CZ14,cPTAC,0.0,0.0,910668025784.25,0.0,0.0,911087405538.14
MBT,CZ14,cPVVG,1444875562.94,0.0,5341012716.48,56947409522.0,0.0,903212936186.67
MBT,CZ15,cDXGF,4843023049.82,0.0,1314438918129.72,4843023049.82,0.0,1314438918129.72
MBT,CZ15,cDXHP,0.0,1224326616.33,1315268116182.25,0.0,1224326616.33,1315268116182.25
MBT,CZ15,cPTAC,0.0,0.0,1314340447432.34,0.0,0.0,1314340447432.34
MBT,CZ15,cPVVG,0.0,0.0,15940581452.33,4986170852.35,0.0,1303418554006.32
MBT,CZ16,cDXGF,191368465047.56,0.0,623862875724.51,191368465047.56,0.0,623862875724.51
MBT,CZ16,cDXHP,0.0,54046901114.56,620361234475.77,0.0,54364679966.89,620361234475.77
MBT,CZ16,cPTAC,0.0,0.0,622244866702.43,0.0,0.0,622244866702.43
MBT,CZ16,cPVVG,7425864284.18,0.0,1588466436.52,198699015244.04,0.0,616786985572.75
