Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
MLI,CZ01,cDXGF,437185019363.98,0.0,207117843475.53,437185019363.98,0.0,207117843475.53
MLI,CZ01,cDXHP,0.0,110982399787.43,217016597395.65,0.0,111222289303.22,217016597395.65
MLI,CZ01,cPTAC,0.0,0.0,169309717868.36,0.0,0.0,169309717868.36
MLI,CZ01,cPVVG,0.0,0.0,0.0,439325026383.27,0.0,203512957523.6
MLI,CZ02,cDXGF,282965287873.89,0.0,434978199461.45,282965287873.89,0.0,434978199461.45
MLI,CZ02,cDXHP,0.0,74854037000.37,443990723834.11,0.0,75160444145.33,443990723834.11
MLI,CZ02,cPTAC,0.0,0.0,402472937228.32,0.0,0.0,402472937228.32
MLI,CZ02,cPVVG,0.0,0.0,0.0,284784094717.92,0.0,426624706580.62
MLI,CZ03,cDXGF,181605489054.76,0.0,364192548471.68,181605489054.76,0.0,364192548471.68
MLI,CZ03,cDXHP,0.0,44026391321.28,374582197363.89,0.0,44026391321.28,374582197363.89
MLI,CZ03,cPTAC,0.0,0.0,341310546095.11,0.0,0.0,341310546095.11
MLI,CZ03,cPVVG,0.0,0.0,0.0,182724084385.25,0.0,357255216814.37
MLI,CZ04,cDXGF,226914792668.44,0.0,580321265040.41,226914792668.44,0.0,581283082133.82
MLI,CZ04,cDXHP,0.0,62632456714.76,582540898796.4,0.0,62697371328.93,582540898796.4
MLI,CZ04,cPTAC,0.0,0.0,548052793723.32,0.0,0.0,549014610684.09
MLI,CZ04,cPVVG,0.0,0.0,0.0,228512580394.63,0.0,570141441950.66
MLI,CZ05,cDXGF,148737449953.12,0.0,368137919517.72,148737449953.12,0.0,368137919517.72
MLI,CZ05,cDXHP,0.0,37157776724.09,377629858273.0,0.0,37157776724.09,377629858273.0
MLI,CZ05,cPTAC,0.0,0.0,343740016511.55,0.0,0.0,343740016511.55
MLI,CZ05,cPVVG,0.0,0.0,0.0,149831696054.35,0.0,361188558989.47
MLI,CZ06,cDXGF,44133445268.37,0.0,550573053358.43,44133445268.37,0.0,550573053358.43
MLI,CZ06,cDXHP,0.0,10218686986.54,551754750017.68,0.0,10218686986.54,551754750017.68
MLI,CZ06,cPTAC,0.0,0.0,543748323443.24,0.0,0.0,543748323443.24
MLI,CZ06,cPVVG,0.0,0.0,0.0,44647569243.49,0.0,541519702314.43
MLI,CZ07,cDXGF,36635715939.86,0.0,556908449176.26,36635715939.86,0.0,556908449176.26
MLI,CZ07,cDXHP,0.0,8434131004.65,559418021397.8,0.0,8434131004.65,559418021397.8
MLI,CZ07,cPTAC,0.0,0.0,550345034689.45,0.0,0.0,550345034689.45
MLI,CZ07,cPVVG,0.0,0.0,0.0,37356341069.79,0.0,547904530603.04
MLI,CZ08,cDXGF,58654998563.45,0.0,707271306637.17,58654998563.45,0.0,707271306637.17
MLI,CZ08,cDXHP,0.0,13847988855.5,705099035027.77,0.0,13847988855.5,705099035027.77
MLI,CZ08,cPTAC,0.0,0.0,696422729498.59,0.0,0.0,696422729498.59
MLI,CZ08,cPVVG,0.0,0.0,0.0,58685447506.42,0.0,694594674251.19
