Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
OfS,CZ01,cDXGF,36477871577.22,0.0,51137604783.51,36477871577.22,0.0,51420503385.58
OfS,CZ01,cDXHP,0.0,9126336716.98,51015622278.2,0.0,9126336716.98,51015622278.2
OfS,CZ01,cPTAC,0.0,0.0,50507854658.03,0.0,0.0,50782850415.58
OfS,CZ01,cPVVG,1068000707.87,0.0,702480465.07,37584366953.44,0.0,50823657291.52
OfS,CZ02,cDXGF,24952105378.86,0.0,93551953548.43,24952105378.86,0.0,93677182617.66
OfS,CZ02,cDXHP,0.0,6372931633.81,93306001284.61,0.0,6372931633.81,93322095085.39
OfS,CZ02,cPTAC,0.0,0.0,93050361668.35,0.0,0.0,93175590560.22
OfS,CZ02,cPVVG,1337829809.68,0.0,2591161788.93,25976211605.22,0.0,92697013992.11
OfS,CZ03,cDXGF,14914835724.4,0.0,87861652312.36,14914835724.4,0.0,87861652312.36
OfS,CZ03,cDXHP,0.0,3629649289.07,87348370814.42,0.0,3629649289.07,87348370814.42
OfS,CZ03,cPTAC,0.0,0.0,87492944843.99,0.0,0.0,87492944843.99
OfS,CZ03,cPVVG,650576570.68,0.0,2126754704.12,15523612078.08,0.0,86884059255.07
OfS,CZ04,cDXGF,19114790896.12,0.0,117634100015.61,19114790896.12,0.0,119252955260.96
OfS,CZ04,cDXHP,0.0,4967337912.8,117694860355.58,0.0,4967337912.8,118995337476.28
OfS,CZ04,cPTAC,0.0,0.0,117237708546.35,0.0,0.0,118835445915.25
OfS,CZ04,cPVVG,1122088377.09,0.0,3971478267.77,19925702118.75,0.0,118100097221.23
OfS,CZ05,cDXGF,11162089528.39,0.0,92827052671.0,11162089528.39,0.0,92936745462.16
OfS,CZ05,cDXHP,0.0,2768188699.06,92365875758.61,0.0,2768188699.06,92365875758.61
OfS,CZ05,cPTAC,0.0,0.0,92474091026.62,0.0,0.0,92583782469.28
OfS,CZ05,cPVVG,556816750.89,0.0,2317381484.05,11619894406.09,0.0,91909203882.73
OfS,CZ06,cDXGF,2567393892.79,0.0,109815099496.56,2567393892.79,0.0,115624861218.49
OfS,CZ06,cDXHP,0.0,614389779.76,112613409931.6,0.0,614389779.76,115272199658.5
OfS,CZ06,cPTAC,0.0,0.0,109736555025.29,0.0,0.0,115536149115.87
OfS,CZ06,cPVVG,0.0,0.0,2969325955.04,2677788564.32,0.0,114462074011.54
OfS,CZ07,cDXGF,1406857635.36,0.0,109544833622.29,1406857635.36,0.0,113925484373.22
OfS,CZ07,cDXHP,0.0,335832000.8,111399114737.3,0.0,335832000.8,113558572575.89
OfS,CZ07,cPTAC,0.0,0.0,109479239042.91,0.0,0.0,113859861243.59
OfS,CZ07,cPVVG,0.0,0.0,2286424716.45,1467715904.46,0.0,112758203135.82
OfS,CZ08,cDXGF,3417688866.36,0.0,132691534552.92,3417688866.36,0.0,136033314187.85
OfS,CZ08,cDXHP,0.0,830838324.3,133659385610.41,0.0,830838324.3,135817213284.69
OfS,CZ08,cPTAC,0.0,0.0,132573926026.42,0.0,0.0,135915670655.89
OfS,CZ08,cPVVG,1119691.02,0.0,3888633202.07,3564227201.27,0.0,134716674751.8
OfS,CZ09,cDXGF,5434887086.66,0.0,138131792674.41,5434887086.66,0.0,139890437199.04
OfS,CZ09,cDXHP,0.0,1341918994.28,138128330713.4,0.0,1341918994.28,139722418045.72
OfS,CZ09,cPTAC,0.0,0.0,137976871932.24,0.0,0.0,139735496806.72
OfS,CZ09,cPVVG,26248462.86,0.0,4364764679.96,5672530412.63,0.0,138509526928.78
OfS,CZ10,cDXGF,4018403357.68,0.0,129705567164.14,4018403357.68,0.0,129935735266.26
