Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RFF,CZ01,cDXGF,8890076321.04,0.0,14231159623.75,8890076321.04,0.0,14235674650.33
RFF,CZ01,cDXHP,0.0,2341885096.58,15609115559.62,0.0,2344136264.39,15609115559.62
RFF,CZ01,cPTAC,0.0,0.0,13430291000.27,0.0,0.0,13434805922.6
RFF,CZ01,cPVVG,19868600.22,0.0,650764.55,8968121606.87,0.0,14066448741.97
RFF,CZ02,cDXGF,8119321084.73,0.0,28544958446.12,8119321084.73,0.0,28583045743.83
RFF,CZ02,cDXHP,0.0,2170100400.42,29838746224.28,0.0,2173855275.19,29838746224.28
RFF,CZ02,cPTAC,0.0,0.0,27859093328.74,0.0,0.0,27897180626.45
RFF,CZ02,cPVVG,119470820.22,0.0,23364261.36,8248675078.37,0.0,28302156348.88
RFF,CZ03,cDXGF,3816547075.56,0.0,25738789025.36,3816547075.56,0.0,25738789025.36
RFF,CZ03,cDXHP,0.0,940726490.58,26960972174.91,0.0,940726490.58,26960972174.91
RFF,CZ03,cPTAC,0.0,0.0,25355789833.37,0.0,0.0,25355789833.37
RFF,CZ03,cPVVG,1554895.68,0.0,21351819.53,3890930002.8,0.0,25450534993.59
RFF,CZ04,cDXGF,5888262003.75,0.0,36590788302.34,5888262003.75,0.0,36918141362.2
RFF,CZ04,cDXHP,0.0,1639904431.16,38026030606.39,0.0,1640520306.2,38101030453.15
RFF,CZ04,cPTAC,0.0,0.0,35895262206.19,0.0,0.0,36222615235.08
RFF,CZ04,cPVVG,69298267.42,0.0,42730176.78,5993534803.5,0.0,36604769590.92
RFF,CZ05,cDXGF,2883372905.59,0.0,26776319405.21,2883372905.59,0.0,27011379138.39
RFF,CZ05,cDXHP,0.0,734139836.6,28350393593.73,0.0,734139836.6,28350393593.73
RFF,CZ05,cPTAC,0.0,0.0,26377802947.22,0.0,0.0,26612862579.23
RFF,CZ05,cPVVG,6546094.99,0.0,15791029.21,2935582691.79,0.0,26707968721.67
RFF,CZ06,cDXGF,655104992.57,0.0,36418165208.88,655104992.57,0.0,36693614933.11
RFF,CZ06,cDXHP,0.0,155426139.06,37416960978.86,0.0,155426139.06,37445908699.36
RFF,CZ06,cPTAC,0.0,0.0,36326671377.62,0.0,0.0,36602121100.62
RFF,CZ06,cPVVG,0.0,0.0,41827284.47,677220864.91,0.0,36327566853.04
RFF,CZ07,cDXGF,466086535.82,0.0,35535549799.22,466086535.82,0.0,35655678242.93
RFF,CZ07,cDXHP,0.0,110018676.51,36327303823.3,0.0,110018676.51,36342081511.86
RFF,CZ07,cPTAC,0.0,0.0,35454877540.23,0.0,0.0,35575005983.94
RFF,CZ07,cPVVG,0.0,0.0,26080049.18,482362074.46,0.0,35286795466.34
RFF,CZ08,cDXGF,931527592.58,0.0,43550902760.26,931527592.58,0.0,43887249419.6
RFF,CZ08,cDXHP,0.0,227034113.01,44599696581.83,0.0,227034113.01,44685130450.2
RFF,CZ08,cPTAC,0.0,0.0,43407902173.74,0.0,0.0,43744248833.2
RFF,CZ08,cPVVG,303323.45,0.0,62527307.06,963527913.65,0.0,43482676144.17
RFF,CZ09,cDXGF,1588073095.54,0.0,44631159577.89,1588073095.54,0.0,44913860412.43
RFF,CZ09,cDXHP,0.0,394047903.25,45520004073.07,0.0,394047903.25,45580331642.76
RFF,CZ09,cPTAC,0.0,0.0,44448927190.08,0.0,0.0,44731628024.14
RFF,CZ09,cPVVG,2522780.1,0.0,83241089.66,1643140091.67,0.0,44496825837.56
RFF,CZ10,cDXGF,1935647840.3,0.0,44451311562.8,1935647840.3,0.0,44666045874.76
RFF,CZ10,cDXHP,0.0,485239616.45,45168052017.11,0.0,485239616.45,45239974027.62
RFF,CZ10,cPTAC,0.0,0.0,44208242943.23,0.0,0.0,44422977254.78
RFF,CZ10,cPVVG,3995017.4,0.0,76744216.11,1997093182.76,0.0,44258164338.59
RFF,CZ11,cDXGF,8338465414.0,0.0,44675715726.95,8338465414.0,0.0,44704604361.58
RFF,CZ11,cDXHP,0.0,2217060823.58,45321181109.57,0.0,2217060823.58,45350190072.98
RFF,CZ11,cPTAC,0.0,0.0,44174741270.13,0.0,0.0,44203629904.77
RFF,CZ11,cPVVG,146832993.15,0.0,111608710.91,8565438661.59,0.0,44333768219.38
RFF,CZ12,cDXGF,7014888775.12,0.0,37578466278.78,7014888775.12,0.0,37589745678.01
RFF,CZ12,cDXHP,0.0,1846349002.4,38572505037.21,0.0,1846921961.76,38576374785.91
RFF,CZ12,cPTAC,0.0,0.0,37070167500.97,0.0,0.0,37081446900.2
RFF,CZ12,cPVVG,91984083.56,0.0,61530922.43,7169060611.61,0.0,37269940377.81
RFF,CZ13,cDXGF,5505406764.5,0.0,47350736687.1,5505406764.5,0.0,47365727487.01
