Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Rt3,CZ01,cDXGF,145629766074.25,0.0,750436921758.13,145629766074.25,0.0,750537869771.37
Rt3,CZ01,cDXHP,0.0,36339323338.16,840745850301.84,0.0,37732885197.42,840745850301.84
Rt3,CZ01,cPTAC,0.0,0.0,729418026091.15,0.0,0.0,729518963076.48
Rt3,CZ01,cPVVG,276762772.4,0.0,0.0,155453042090.27,0.0,747334264438.84
Rt3,CZ02,cDXGF,184583209284.76,0.0,1091956918163.17,184583209284.76,0.0,1096871181001.23
Rt3,CZ02,cDXHP,0.0,47287345336.17,1163290316223.56,0.0,48585330505.56,1163374254642.55
Rt3,CZ02,cPTAC,0.0,0.0,1070365434310.84,0.0,0.0,1075279659707.15
Rt3,CZ02,cPVVG,4399871567.08,0.0,113697807.2,199944129242.93,0.0,1105364224875.76
Rt3,CZ03,cDXGF,109535495531.6,0.0,981989394338.3,109535495531.6,0.0,982404285030.21
Rt3,CZ03,cDXHP,0.0,26421643415.32,1061710588382.11,0.0,26440006461.59,1061710588382.11
Rt3,CZ03,cPTAC,0.0,0.0,970218507075.39,0.0,0.0,970633397357.99
Rt3,CZ03,cPVVG,361527508.49,0.0,1776122.49,117578128010.81,0.0,986742941619.82
Rt3,CZ04,cDXGF,168836630978.35,0.0,1284233887799.63,168836630978.35,0.0,1317114433588.15
Rt3,CZ04,cDXHP,0.0,45124376763.26,1354348213654.16,0.0,45760591175.02,1355806415548.09
Rt3,CZ04,cPTAC,0.0,0.0,1266248518151.06,0.0,0.0,1299129042206.86
Rt3,CZ04,cPVVG,5040027510.31,0.0,250443242.88,182836857295.68,0.0,1334381660107.52
Rt3,CZ05,cDXGF,110104198766.7,0.0,1011029117065.37,110104198766.7,0.0,1013740478940.38
Rt3,CZ05,cDXHP,0.0,26806939745.88,1089255402344.17,0.0,27221171410.46,1089255402344.17
Rt3,CZ05,cPTAC,0.0,0.0,998222367075.18,0.0,0.0,1000933706954.07
Rt3,CZ05,cPVVG,532339900.06,0.0,0.0,117518071189.77,0.0,1019806541381.23
Rt3,CZ06,cDXGF,31864954870.57,0.0,1280461824411.51,31864954870.57,0.0,1287748063826.44
Rt3,CZ06,cDXHP,0.0,7401067643.92,1339043867046.22,0.0,7401067643.92,1340054507599.81
Rt3,CZ06,cPTAC,0.0,0.0,1276650324576.33,0.0,0.0,1283936548780.4
Rt3,CZ06,cPVVG,0.0,0.0,6840274.29,34036624741.51,0.0,1304166131644.71
Rt3,CZ07,cDXGF,30051740464.28,0.0,1294498369331.68,30051740464.28,0.0,1300377213755.71
Rt3,CZ07,cDXHP,0.0,6929187341.53,1351086046063.78,0.0,6929187341.53,1351564041302.67
Rt3,CZ07,cPTAC,0.0,0.0,1290569553643.55,0.0,0.0,1296448393636.01
Rt3,CZ07,cPVVG,0.0,0.0,15431984.2,32093132300.84,0.0,1314018532808.74
Rt3,CZ08,cDXGF,37790017872.12,0.0,1512369588971.05,37790017872.12,0.0,1523856787457.22
Rt3,CZ08,cDXHP,0.0,9016557373.35,1564335557358.9,0.0,9016557373.35,1567072448493.27
Rt3,CZ08,cPTAC,0.0,0.0,1507289281513.87,0.0,0.0,1518776479970.9
Rt3,CZ08,cPVVG,39378008.84,0.0,124026441.79,40551376374.7,0.0,1545130612163.64
Rt3,CZ09,cDXGF,53661883475.95,0.0,1483284159835.14,53661883475.95,0.0,1497994783336.02
Rt3,CZ09,cDXHP,0.0,13062720323.66,1530075259041.9,0.0,13062720323.66,1533572319245.51
Rt3,CZ09,cPTAC,0.0,0.0,1477334784087.4,0.0,0.0,1492045407267.73
Rt3,CZ09,cPVVG,385072656.57,0.0,163923037.37,57751323010.35,0.0,1520298287605.76
Rt3,CZ10,cDXGF,85090250070.48,0.0,1613462967415.54,85090250070.48,0.0,1626669432737.9
Rt3,CZ10,cDXHP,0.0,20713186039.39,1648837656282.69,0.0,20713186039.39,1653025281251.81
Rt3,CZ10,cPTAC,0.0,0.0,1606575487436.72,0.0,0.0,1619781951919.36
Rt3,CZ10,cPVVG,2231415124.9,0.0,243302472.98,91711356561.68,0.0,1654775936755.65
Rt3,CZ11,cDXGF,163126212618.12,0.0,1504641034894.38,163126212618.12,0.0,1519869672448.42
Rt3,CZ11,cDXHP,0.0,42657709762.26,1543568670205.04,0.0,42790136537.04,1543695733765.13
Rt3,CZ11,cPTAC,0.0,0.0,1479080487975.81,0.0,0.0,1494309126816.81
Rt3,CZ11,cPVVG,5759605396.49,0.0,1223984288.27,178217013516.99,0.0,1545064005000.77
Rt3,CZ12,cDXGF,146688120817.26,0.0,1318050572904.59,146688120817.26,0.0,1324196561088.16
Rt3,CZ12,cDXHP,0.0,37992143900.48,1378586296968.37,0.0,38189192183.6,1378586296968.37
Rt3,CZ12,cPTAC,0.0,0.0,1300109039180.09,0.0,0.0,1306255027327.59
Rt3,CZ12,cPVVG,3043280811.65,0.0,388586501.33,159730852270.82,0.0,1342178809381.26
Rt3,CZ13,cDXGF,110920770091.66,0.0,1602666482986.11,110920770091.66,0.0,1606565711910.69
Rt3,CZ13,cDXHP,0.0,28599855334.55,1635762333131.66,0.0,28599855334.55,1636208946402.22
Rt3,CZ13,cPTAC,0.0,0.0,1591017651409.73,0.0,0.0,1594916880334.3
Rt3,CZ13,cPVVG,1378001603.4,0.0,1461768753.29,120836512242.05,0.0,1633988812702.8
Rt3,CZ14,cDXGF,99239308682.84,0.0,1463022692413.95,99239308682.84,0.0,1483857242956.61
Rt3,CZ14,cDXHP,0.0,28351360480.84,1499107700560.92,0.0,28626317862.97,1499501193682.46
Rt3,CZ14,cPTAC,0.0,0.0,1447312544262.42,0.0,0.0,1468147094805.08
Rt3,CZ14,cPVVG,2111490968.13,0.0,266311062.52,106774030360.66,0.0,1507948441128.28
Rt3,CZ15,cDXGF,11890895310.62,0.0,2233746598061.03,11890895310.62,0.0,2264630225965.51
Rt3,CZ15,cDXHP,0.0,2941923608.93,2234140006977.3,0.0,2941923608.93,2264355473940.5
Rt3,CZ15,cPTAC,0.0,0.0,2231405837927.43,0.0,0.0,2262289465831.9
Rt3,CZ15,cPVVG,31466347.86,0.0,6553135003.94,12680714854.77,0.0,2314441880588.56
Rt3,CZ16,cDXGF,250906640025.07,0.0,954122995111.01,250906640025.07,0.0,954122995111.01
Rt3,CZ16,cDXHP,0.0,75362332511.87,1004687818422.48,0.0,78543951140.31,1004687818422.48
Rt3,CZ16,cPTAC,0.0,0.0,919140581824.87,0.0,0.0,919140581824.87
Rt3,CZ16,cPVVG,16454878908.6,0.0,125695923.2,272377750223.61,0.0,960033722200.72
