Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RtL,CZ01,cDXGF,122871107419.88,0.0,1016255407390.34,122871107419.88,0.0,1016255407390.34
RtL,CZ01,cDXHP,0.0,29622929767.9,1006998829630.9,0.0,29942200259.73,1006998829630.9
RtL,CZ01,cPTAC,0.0,0.0,1010049554188.7,0.0,0.0,1010049554188.7
RtL,CZ01,cPVVG,0.0,0.0,0.0,124299354067.82,0.0,1005900081820.0
RtL,CZ02,cDXGF,83074352614.68,0.0,1268380558740.61,83074352614.68,0.0,1268380558740.61
RtL,CZ02,cDXHP,0.0,20796068481.46,1267773727773.42,0.0,20910118580.18,1267773727773.42
RtL,CZ02,cPTAC,0.0,0.0,1264320282607.32,0.0,0.0,1264320282607.32
RtL,CZ02,cPVVG,21172840.96,0.0,0.0,85169257433.56,0.0,1256994937175.78
RtL,CZ03,cDXGF,51533051488.89,0.0,1213095068905.33,51533051488.89,0.0,1213095068905.33
RtL,CZ03,cDXHP,0.0,12247238036.11,1210288159204.49,0.0,12247238036.11,1210288159204.49
RtL,CZ03,cPTAC,0.0,0.0,1210514504144.45,0.0,0.0,1210514504144.45
RtL,CZ03,cPVVG,0.0,0.0,0.0,52129541271.86,0.0,1202201298993.76
RtL,CZ04,cDXGF,70212980624.02,0.0,1446185791484.81,70212980624.02,0.0,1446185791484.81
RtL,CZ04,cDXHP,0.0,18073873373.6,1446967742279.34,0.0,18073873373.6,1446967742279.34
RtL,CZ04,cPTAC,0.0,0.0,1442897488420.68,0.0,0.0,1442897488420.68
RtL,CZ04,cPVVG,5367346.16,0.0,1429543.61,72533248714.54,0.0,1433621709985.86
RtL,CZ05,cDXGF,43705420005.12,0.0,1220701500066.6,43705420005.12,0.0,1220701500066.6
RtL,CZ05,cDXHP,0.0,10557891110.13,1216434870979.94,0.0,10557891110.13,1216434870979.94
RtL,CZ05,cPTAC,0.0,0.0,1218342216961.43,0.0,0.0,1218342216961.43
RtL,CZ05,cPVVG,0.0,0.0,0.0,44333222897.27,0.0,1209419767872.57
RtL,CZ06,cDXGF,11835277093.71,0.0,1389142316085.59,11835277093.71,0.0,1389142316085.59
RtL,CZ06,cDXHP,0.0,2753103879.49,1385345235043.33,0.0,2753103879.49,1385345235043.33
RtL,CZ06,cPTAC,0.0,0.0,1388639708069.86,0.0,0.0,1388639708069.86
RtL,CZ06,cPVVG,0.0,0.0,0.0,12261385476.37,0.0,1376543618842.69
