Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RtS,CZ01,cDXGF,28028636009.31,0.0,39013796268.08,28028636009.31,0.0,39013796268.08
RtS,CZ01,cDXHP,0.0,6844759097.21,38648135429.56,0.0,6849967540.73,38648135429.56
RtS,CZ01,cPTAC,0.0,0.0,38044844137.31,0.0,0.0,38044844137.31
RtS,CZ01,cPVVG,0.0,0.0,0.0,28439710662.96,0.0,38520477619.85
RtS,CZ02,cDXGF,26160656761.62,0.0,68679055166.9,26160656761.62,0.0,68679055166.9
RtS,CZ02,cDXHP,0.0,6518595833.76,68756615754.73,0.0,6530763357.81,68756615754.73
RtS,CZ02,cPTAC,0.0,0.0,67950206530.18,0.0,0.0,67950206530.18
RtS,CZ02,cPVVG,331255870.53,0.0,1040623.65,26611965044.47,0.0,67925640918.07
RtS,CZ03,cDXGF,14652710836.05,0.0,63124107932.24,14652710836.05,0.0,63124107932.24
RtS,CZ03,cDXHP,0.0,3490788844.03,62992906025.13,0.0,3490788844.03,62992906025.13
RtS,CZ03,cPTAC,0.0,0.0,62649635881.77,0.0,0.0,62649635881.77
RtS,CZ03,cPVVG,27143914.75,0.0,0.0,14867476552.07,0.0,62367988295.82
RtS,CZ04,cDXGF,20642680172.72,0.0,89471131441.43,20642680172.72,0.0,89471131441.43
RtS,CZ04,cDXHP,0.0,5242757691.67,89711460442.99,0.0,5242757691.67,89711460442.99
RtS,CZ04,cPTAC,0.0,0.0,88840034814.04,0.0,0.0,88840034814.04
RtS,CZ04,cPVVG,288921711.31,0.0,24377147.07,21065669611.83,0.0,88652239587.53
RtS,CZ05,cDXGF,12297426444.28,0.0,65080863404.66,12297426444.28,0.0,65080863404.66
RtS,CZ05,cDXHP,0.0,2961570438.52,64770477997.17,0.0,2961570438.52,64770477997.17
RtS,CZ05,cPTAC,0.0,0.0,64665420057.91,0.0,0.0,64665420057.91
RtS,CZ05,cPVVG,41066121.92,0.0,0.0,12472261803.57,0.0,64301276418.22
RtS,CZ06,cDXGF,3420999696.14,0.0,86211394618.87,3420999696.14,0.0,86211394618.87
RtS,CZ06,cDXHP,0.0,795746898.06,85999432286.34,0.0,795746898.06,85999432286.34
RtS,CZ06,cPTAC,0.0,0.0,86090674831.66,0.0,0.0,86090674831.66
RtS,CZ06,cPVVG,0.0,0.0,0.0,3517379379.14,0.0,85382093157.97
RtS,CZ07,cDXGF,3169392679.58,0.0,85432756870.36,3169392679.58,0.0,85432756870.36
RtS,CZ07,cDXHP,0.0,731901700.11,85246082063.84,0.0,731901700.11,85246082063.84
RtS,CZ07,cPTAC,0.0,0.0,85326016235.23,0.0,0.0,85326016235.23
RtS,CZ07,cPVVG,0.0,0.0,514413.24,3259251390.0,0.0,84591634737.06
RtS,CZ08,cDXGF,4310253287.48,0.0,103679081646.93,4310253287.48,0.0,103679081646.93
RtS,CZ08,cDXHP,0.0,1016930487.9,103756947026.13,0.0,1016930487.9,103756947026.13
RtS,CZ08,cPTAC,0.0,0.0,103517229355.09,0.0,0.0,103517229355.09
RtS,CZ08,cPVVG,0.0,0.0,4726353.17,4452356650.51,0.0,102743286236.73
RtS,CZ09,cDXGF,6283389773.66,0.0,106236115125.88,6283389773.66,0.0,106251505429.06
RtS,CZ09,cDXHP,0.0,1508919236.85,106322642530.88,0.0,1508919236.85,106322642530.88
RtS,CZ09,cPTAC,0.0,0.0,106025960734.09,0.0,0.0,106041351037.27
RtS,CZ09,cPVVG,0.0,0.0,17708472.09,6495545019.84,0.0,105277724167.46
RtS,CZ10,cDXGF,8695824344.85,0.0,109607874582.24,8695824344.85,0.0,109616314889.71
RtS,CZ10,cDXHP,0.0,2084011063.44,109658423236.06,0.0,2084011063.44,109658423236.06
RtS,CZ10,cPTAC,0.0,0.0,109354130510.79,0.0,0.0,109362570818.26
RtS,CZ10,cPVVG,11678606.86,0.0,20891240.66,8959519181.3,0.0,108629385847.84
RtS,CZ11,cDXGF,24428384779.21,0.0,105553888753.05,24428384779.21,0.0,105553888753.05
RtS,CZ11,cDXHP,0.0,6146269232.63,105721866308.7,0.0,6146269232.63,105721866308.7
RtS,CZ11,cPTAC,0.0,0.0,104976078294.49,0.0,0.0,104976078294.49
RtS,CZ11,cPVVG,578628205.39,0.0,296928898.98,25268713339.38,0.0,104684747494.65
RtS,CZ12,cDXGF,23150062267.15,0.0,89026319989.49,23150062267.15,0.0,89026319989.49
RtS,CZ12,cDXHP,0.0,5777274510.2,89250167290.62,0.0,5777274510.2,89250167290.62
RtS,CZ12,cPTAC,0.0,0.0,88422931714.05,0.0,0.0,88422931714.05
RtS,CZ12,cPVVG,297010328.69,0.0,41116075.88,23798660709.44,0.0,88249839158.4
RtS,CZ13,cDXGF,18937240443.75,0.0,112974850057.36,18937240443.75,0.0,112974850057.36
RtS,CZ13,cDXHP,0.0,4703597000.44,113138679133.43,0.0,4703597000.44,113138679133.43
RtS,CZ13,cPTAC,0.0,0.0,112528608905.45,0.0,0.0,112528608905.45
