Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
SCn,CZ01,cDXGF,3109931613107.52,0.0,147923346097.54,3440523063973.81,0.0,147923346097.54
SCn,CZ01,cDXHP,0.0,612137432750.01,172397618010.05,0.0,965647078981.92,172397618010.05
SCn,CZ01,cPTAC,0.0,0.0,104130569937.24,0.0,0.0,104130569937.24
SCn,CZ01,cPVVG,28510922572.82,0.0,0.0,3440602138315.4,0.0,138709354883.42
SCn,CZ02,cDXGF,1993883375805.84,0.0,922754135117.36,2205763231509.26,0.0,969931902217.82
SCn,CZ02,cDXHP,0.0,373598488112.56,921538309504.22,0.0,649759478980.65,968716076591.83
SCn,CZ02,cPTAC,0.0,0.0,865317500101.23,0.0,0.0,911919640661.1
SCn,CZ02,cPVVG,40078457675.57,0.0,0.0,2205799649206.77,0.0,890767750513.46
SCn,CZ03,cDXGF,1296182308174.8,0.0,579225241042.74,1471963865786.03,0.0,594974608673.95
SCn,CZ03,cDXHP,0.0,247960017374.92,628210783382.31,0.0,399220862484.41,635423410369.59
SCn,CZ03,cPTAC,0.0,0.0,544773420843.27,0.0,0.0,560522811030.82
SCn,CZ03,cPVVG,26249642102.63,0.0,0.0,1471998511632.56,0.0,570748448501.75
SCn,CZ04,cDXGF,1534957997691.79,0.0,1184303132477.66,1692366594518.5,0.0,1535741174689.4
SCn,CZ04,cDXHP,0.0,298363004027.05,1183015626016.08,0.0,505879835437.67,1534453668213.69
SCn,CZ04,cPTAC,0.0,0.0,1135586577731.6,0.0,0.0,1487024620128.2
SCn,CZ04,cPVVG,37995523247.11,0.0,0.0,1692405961432.32,0.0,1455820821501.62
SCn,CZ05,cDXGF,992583009011.52,0.0,558303879832.78,1106569550740.32,0.0,572140935182.76
SCn,CZ05,cDXHP,0.0,190179134040.58,583543085266.25,0.0,306261746984.84,590952695418.35
SCn,CZ05,cPTAC,0.0,0.0,516219604354.98,0.0,0.0,530056661980.58
SCn,CZ05,cPVVG,24377180675.17,0.0,0.0,1106560157652.72,0.0,541572225481.33
SCn,CZ06,cDXGF,285348533015.47,0.0,1000724837207.68,336779903666.71,0.0,1237252272547.67
SCn,CZ06,cDXHP,0.0,50370019681.86,1147844536305.79,0.0,79365755866.35,1300201037915.19
SCn,CZ06,cPTAC,0.0,0.0,964935644498.09,0.0,0.0,1201463080391.71
SCn,CZ06,cPVVG,5166632694.3,0.0,0.0,336787927727.36,0.0,1230502360878.42
SCn,CZ07,cDXGF,246259797301.69,0.0,1050848005814.61,276342206058.39,0.0,1266492259402.19
SCn,CZ07,cDXHP,0.0,48821746316.56,1178818240667.76,0.0,64786721801.15,1329823903873.23
SCn,CZ07,cPTAC,0.0,0.0,1018845498136.61,0.0,0.0,1234489751722.51
SCn,CZ07,cPVVG,1924441978.9,0.0,0.0,276348068847.65,0.0,1259410768609.71
SCn,CZ08,cDXGF,423735725972.48,0.0,1464643416468.07,443441899081.51,0.0,1965699662573.71
SCn,CZ08,cDXHP,0.0,87305396468.04,1464271378625.24,0.0,110201455288.06,1965327624730.88
SCn,CZ08,cPTAC,0.0,0.0,1414078984336.71,0.0,0.0,1915135230466.04
SCn,CZ08,cPVVG,8136416443.22,0.0,0.0,443452038389.69,0.0,1956874793325.82
SCn,CZ09,cDXGF,569439394906.77,0.0,1488652058198.96,642892858574.28,0.0,1932487247691.22
SCn,CZ09,cDXHP,0.0,106390260131.08,1488052530117.37,0.0,162050099280.83,1931887719609.64
SCn,CZ09,cPTAC,0.0,0.0,1437248918755.36,0.0,0.0,1881084108247.62
SCn,CZ09,cPVVG,18650906795.03,0.0,0.0,642909243711.42,0.0,1923641224737.37
SCn,CZ10,cDXGF,515993878455.94,0.0,1226089099987.63,588344682331.6,0.0,2046800736226.46
SCn,CZ10,cDXHP,0.0,99473436132.77,1225278945560.05,0.0,155563305630.02,2045990581783.34
SCn,CZ10,cPTAC,0.0,0.0,1180812350401.88,0.0,0.0,2001523986674.17
SCn,CZ10,cPVVG,20883960446.68,0.0,0.0,588359170660.96,0.0,2039743661231.5
SCn,CZ11,cDXGF,2074062661215.28,0.0,1289466250752.44,2238111675449.64,0.0,2151299888685.97
SCn,CZ11,cDXHP,0.0,404605781770.42,1289250294721.66,0.0,640137367789.99,2151083932013.52
SCn,CZ11,cPTAC,0.0,0.0,1259570895884.88,0.0,0.0,2120794261322.21
SCn,CZ11,cPVVG,55613738634.95,0.0,3322440580.52,2238172474517.31,0.0,2144571461666.65
SCn,CZ12,cDXGF,1965539358016.47,0.0,1190209774036.13,2233963304734.41,0.0,1654655677955.57
SCn,CZ12,cDXHP,0.0,370513241676.41,1189798128521.45,0.0,644865894211.66,1654244032345.9
SCn,CZ12,cPTAC,0.0,0.0,1159893972944.72,0.0,0.0,1624339876783.86
SCn,CZ12,cPVVG,43867780417.07,0.0,0.0,2234021134761.65,0.0,1633665972469.95
SCn,CZ13,cDXGF,1765562565343.41,0.0,1450086085540.35,1870626861114.31,0.0,2440008715425.89
SCn,CZ13,cDXHP,0.0,358468605999.37,1449775293116.47,0.0,526722336656.66,2439697923162.95
SCn,CZ13,cPTAC,0.0,0.0,1428269510185.07,0.0,0.0,2418192140231.55
SCn,CZ13,cPVVG,29217105357.28,0.0,3318661915.06,1870678276177.82,0.0,2432450953287.74
SCn,CZ14,cDXGF,1618160416961.82,0.0,1406226636140.08,1802465460912.49,0.0,2094422427024.14
SCn,CZ14,cDXHP,0.0,295147842664.3,1405415759219.94,0.0,553572437159.29,2093611550022.16
SCn,CZ14,cPTAC,0.0,0.0,1384131849799.35,0.0,0.0,2072327640327.86
SCn,CZ14,cPVVG,42772253232.8,0.0,1833441979.75,1802515880396.79,0.0,1971669213447.34
SCn,CZ15,cDXGF,227289789776.89,0.0,1652521176436.62,260126006445.74,0.0,3934259342525.08
SCn,CZ15,cDXHP,0.0,50620199257.15,1652442943918.42,0.0,62441052913.86,3934181109891.47
SCn,CZ15,cPTAC,0.0,0.0,1625185282312.75,0.0,0.0,3906923447436.12
SCn,CZ15,cPVVG,23607579473.07,0.0,10544649382.41,260133485342.4,0.0,3924943483298.08
SCn,CZ16,cDXGF,3829370330444.02,0.0,764236864702.2,3952877307481.43,0.0,771012926174.82
SCn,CZ16,cDXHP,0.0,622066690899.6,818619605802.39,0.0,1301967983292.5,818619605802.39
SCn,CZ16,cPTAC,0.0,0.0,726534018145.92,0.0,0.0,733310079520.01
SCn,CZ16,cPVVG,73127836719.3,0.0,0.0,3953001913911.38,0.0,712258521257.36
